Testcase,Algorithm,Repeats,Min_value,Mean_value,Max_value,Time_per_iter
1,BasicVNS,30,3800.0,3800.0,3800.0,0.008541528383890789
2,BasicVNS,30,10041.3,10041.299999999994,10041.3,0.04321444034576416
3,BasicVNS,30,4225.0,4225.0,4225.0,0.17099850972493488
4,BasicVNS,30,6440.0,6440.0,6440.0,0.5960140546162923
5,BasicVNS,30,3307.0,3307.0,3307.0,4.0951094150543215
6,BasicVNS,30,13240.0,13240.0,13240.0,3.3819188356399534
7,BasicVNS,30,157510.0,157510.0,157510.0,4.134101565678915
8,BasicVNS,30,130355.0,130355.0,130355.0,4.151504309972127
9,BasicVNS,30,3534.0,3534.0,3534.0,17.974302371342976
10,BasicVNS,30,11023.0,11023.0,11023.0,20.798534552256267
11,BasicVNS,30,16981.0,16981.0,16981.0,70.65903809070588
12,BasicVNS,30,8841.0,8841.0,8841.0,159.1781568447749
