Testcase,Algorithm,Repeats,Min_value,Mean_value,Max_value,Time_per_iter
1,GeneralVNS,30,3900.0,3900.0,3900.0,0.013737130165100097
2,GeneralVNS,30,10059.900000000001,10059.9,10059.900000000001,0.11320716540018717
3,GeneralVNS,30,4260.0,4260.0,4260.0,0.875532865524292
4,GeneralVNS,30,6550.0,6550.0,6550.0,3.213801717758179
5,GeneralVNS,30,3183.0,3299.0,3328.0,13.150061813990275
6,GeneralVNS,30,13300.0,13300.0,13300.0,16.08704826037089
7,GeneralVNS,30,157840.0,157840.0,157840.0,15.109423287709554
8,GeneralVNS,30,130355.0,130355.0,130355.0,15.591800729433695
9,GeneralVNS,30,3451.0,3520.0,3541.0,39.10404568513234
10,GeneralVNS,30,10939.0,11003.033333333333,11040.0,80.6571387608846
11,GeneralVNS,30,17021.0,17030.633333333335,17038.0,293.8230316559474
12,GeneralVNS,30,8840.0,8845.6,8846.0,578.6538859287898
