Testcase,Algorithm,Repeats,Min_value,Mean_value,Max_value,Time_per_iter
1,ReducedVNS,30,3100.0,3776.6666666666665,3900.0,0.002055668830871582
2,ReducedVNS,30,7245.0,8322.373333333331,10059.900000000001,0.012998096148173014
3,ReducedVNS,30,3140.0,3751.0,4260.0,0.08114229838053386
4,ReducedVNS,30,3345.0,4756.333333333333,6125.0,0.2882831891377767
5,ReducedVNS,30,2167.0,2692.8,2961.0,1.1779331763585408
6,ReducedVNS,30,8580.0,10547.166666666666,12290.0,1.5645854234695435
7,ReducedVNS,30,90886.0,120098.43333333333,142520.0,1.4653655211130778
8,ReducedVNS,30,73422.0,103040.2,119307.0,1.4296299378077189
9,ReducedVNS,30,2399.0,2731.7,3115.0,3.5003525018692017
10,ReducedVNS,30,6856.0,9276.3,10635.0,7.2458607912063595
11,ReducedVNS,30,10744.0,14106.066666666668,16384.0,24.784016116460165
12,ReducedVNS,30,3982.0,6129.2,7491.0,58.36155751546224
